Area Code,Area,Item Code,Item,Element,Year Code,Year,Unit,Value,SUBJECT,MEASURE,Value
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2004,2004,1000 US$,54.9,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2005,2005,1000 US$,109.92,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2006,2006,1000 US$,133.25,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2007,2007,1000 US$,5622.3,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2008,2008,1000 US$,11669.38,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2009,2009,1000 US$,4362.77,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2010,2010,1000 US$,14383.79,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2011,2011,1000 US$,13896.88,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2012,2012,1000 US$,15294.47,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2013,2013,1000 US$,9982.94,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2014,2014,1000 US$,13260.32,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2015,2015,1000 US$,14903.97,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2016,2016,1000 US$,24739.58,,,
21,Brazil,4007,"Ammonia, anhydrous",Export Value,2017,2017,1000 US$,14128.06,,,
21,Brazil,4007,"Ammonia, anhydrous",Agricultural Use,2012,2012,tonnes,0,,,
21,Brazil,4007,"Ammonia, anhydrous",Agricultural Use,2013,2013,tonnes,0,,,
21,Brazil,4007,"Ammonia, anhydrous",Agricultural Use,2014,2014,tonnes,660893,,,
21,Brazil,4007,"Ammonia, anhydrous",Agricultural Use,2015,2015,tonnes,699648,,,
21,Brazil,4007,"Ammonia, anhydrous",Agricultural Use,2016,2016,tonnes,724424,,,
21,Brazil,4007,"Ammonia, anhydrous",Agricultural Use,2017,2017,tonnes,486584,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2002,2002,tonnes,484283,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2003,2003,tonnes,416835,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2004,2004,tonnes,412139,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2005,2005,tonnes,506335,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2006,2006,tonnes,470518,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2007,2007,tonnes,462060,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2008,2008,tonnes,447057,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2009,2009,tonnes,455159,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2010,2010,tonnes,446983,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2011,2011,tonnes,457897,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2012,2012,tonnes,489560,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2013,2013,tonnes,420513,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2014,2014,tonnes,484655,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2015,2015,tonnes,515348,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2016,2016,tonnes,522786,,,
21,Brazil,4003,Ammonium nitrate (AN),Production,2017,2017,tonnes,407838,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2002,2002,tonnes,564611.47,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2003,2003,tonnes,477506.28,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2004,2004,tonnes,269025.37,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2005,2005,tonnes,244101.88,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2006,2006,tonnes,339036.66,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2007,2007,tonnes,771186.05,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2008,2008,tonnes,769084.46,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2009,2009,tonnes,942008.52,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2010,2010,tonnes,1036106.59,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2011,2011,tonnes,1488751.67,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2012,2012,tonnes,1235815.95,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2013,2013,tonnes,1372458.77,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2014,2014,tonnes,1085818.19,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2015,2015,tonnes,1039858.35,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2016,2016,tonnes,1183597.26,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Quantity,2017,2017,tonnes,1327483.45,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2002,2002,1000 US$,57443.38,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2003,2003,1000 US$,49509.58,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2004,2004,1000 US$,35650.22,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2005,2005,1000 US$,44056.22,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2006,2006,1000 US$,61942.11,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2007,2007,1000 US$,187656.68,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2008,2008,1000 US$,324408.07,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2009,2009,1000 US$,170525.93,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2010,2010,1000 US$,221433.85,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2011,2011,1000 US$,505623.13,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2012,2012,1000 US$,417433.41,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2013,2013,1000 US$,414275.25,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2014,2014,1000 US$,319891.31,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2015,2015,1000 US$,258407.76,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2016,2016,1000 US$,214970.74,,,
21,Brazil,4003,Ammonium nitrate (AN),Import Value,2017,2017,1000 US$,252940.19,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2002,2002,tonnes,31377.38,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2003,2003,tonnes,28555.79,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2004,2004,tonnes,32364.1,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2005,2005,tonnes,32967.68,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2006,2006,tonnes,19469.6,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2007,2007,tonnes,14148.58,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2008,2008,tonnes,13625,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2009,2009,tonnes,16496.36,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2010,2010,tonnes,10061.68,,,
21,Brazil,4003,Ammonium nitrate (AN),Export Quantity,2011,2011,tonnes,3870.08,,,
